sequenceIndex,sequence[0],sequence[1],sequence[2],sequence[3],sequence[4],key,timestamp,eventType,cursorPosition,inputValue
0,2,8,2,3,0,8,1731636641560.7998,keydown,1,2
0,2,8,2,3,0,2,1731636641912.7998,keydown,2,28
0,2,8,2,3,0,3,1731636642304.9,keydown,3,282
0,2,8,2,3,0,0,1731636642568.7,keydown,4,2823
0,2,8,2,3,0,Enter,1731636642848.7998,keydown,5,28230
1,9,6,9,3,4,6,1731636644328.7,keydown,1,9
1,9,6,9,3,4,9,1731636644680.9,keydown,2,96
1,9,6,9,3,4,3,1731636645216.7998,keydown,3,969
1,9,6,9,3,4,4,1731636645505,keydown,4,9693
1,9,6,9,3,4,Enter,1731636645704.7,keydown,5,96934
2,7,3,7,6,1,3,1731636647136.7,keydown,1,7
2,7,3,7,6,1,7,1731636647416.5999,keydown,2,73
2,7,3,7,6,1,6,1731636648016.7,keydown,3,737
2,7,3,7,6,1,1,1731636648232.5,keydown,4,7376
2,7,3,7,6,1,Enter,1731636648464.5999,keydown,5,73761
3,9,0,9,7,8,0,1731636649968.5,keydown,1,9
3,9,0,9,7,8,9,1731636650248.4,keydown,2,90
3,9,0,9,7,8,7,1731636650976.5999,keydown,3,909
3,9,0,9,7,8,8,1731636651136.4,keydown,4,9097
3,9,0,9,7,8,Enter,1731636651416.5,keydown,5,90978
4,5,7,4,7,3,7,1731636652840.7,keydown,1,5
4,5,7,4,7,3,4,1731636653096.5,keydown,2,57
4,5,7,4,7,3,7,1731636653704.5999,keydown,3,574
4,5,7,4,7,3,3,1731636654024.5999,keydown,4,5747
4,5,7,4,7,3,Enter,1731636654272.5,keydown,5,57473
5,0,8,4,6,4,8,1731636655616.4,keydown,1,0
5,0,8,4,6,4,4,1731636655872.2998,keydown,2,08
5,0,8,4,6,4,6,1731636656864.4,keydown,3,084
5,0,8,4,6,4,4,1731636657072.4,keydown,4,0846
5,0,8,4,6,4,Enter,1731636657296.5,keydown,5,08464
6,9,6,5,7,0,6,1731636658624.2998,keydown,1,9
6,9,6,5,7,0,5,1731636658848.2998,keydown,2,96
6,9,6,5,7,0,7,1731636659512.5,keydown,3,965
6,9,6,5,7,0,0,1731636659832.2998,keydown,4,9657
6,9,6,5,7,0,Enter,1731636659984.2,keydown,5,96570
7,6,7,5,2,7,7,1731636661520.2,keydown,1,6
7,6,7,5,2,7,5,1731636661776.2,keydown,2,67
7,6,7,5,2,7,2,1731636662352.2,keydown,3,675
7,6,7,5,2,7,7,1731636662632.2998,keydown,4,6752
7,6,7,5,2,7,Enter,1731636662896.2,keydown,5,67527
8,1,3,6,2,6,3,1731636664168.2,keydown,1,1
8,1,3,6,2,6,6,1731636664424.0999,keydown,2,13
8,1,3,6,2,6,2,1731636664832.2,keydown,3,136
8,1,3,6,2,6,6,1731636665120.2,keydown,4,1362
8,1,3,6,2,6,Enter,1731636665352.0999,keydown,5,13626
9,2,7,3,8,9,7,1731636666832.4,keydown,1,2
9,2,7,3,8,9,3,1731636667144.0999,keydown,2,27
9,2,7,3,8,9,8,1731636667928.0999,keydown,3,273
9,2,7,3,8,9,9,1731636668112,keydown,4,2738
9,2,7,3,8,9,Enter,1731636668392.0999,keydown,5,27389
10,8,6,0,2,3,6,1731636670216.0999,keydown,1,8
10,8,6,0,2,3,0,1731636670472.0999,keydown,2,86
10,8,6,0,2,3,2,1731636671064,keydown,3,860
10,8,6,0,2,3,3,1731636671295.9,keydown,4,8602
10,8,6,0,2,3,Enter,1731636671527.9,keydown,5,86023
11,8,1,0,7,0,1,1731636672927.9,keydown,1,8
11,8,1,0,7,0,0,1731636673144,keydown,2,81
11,8,1,0,7,0,7,1731636673728,keydown,3,810
11,8,1,0,7,0,0,1731636674063.7998,keydown,4,8107
11,8,1,0,7,0,Enter,1731636674287.9,keydown,5,81070
12,2,3,9,5,3,3,1731636675599.7998,keydown,1,2
12,2,3,9,5,3,9,1731636675911.9,keydown,2,23
12,2,3,9,5,3,5,1731636676904.0999,keydown,3,239
12,2,3,9,5,3,3,1731636677151.7998,keydown,4,2395
12,2,3,9,5,3,Enter,1731636677359.7998,keydown,5,23953
13,0,4,1,2,1,4,1731636678815.7998,keydown,1,0
13,0,4,1,2,1,1,1731636679063.5999,keydown,2,04
13,0,4,1,2,1,2,1731636679687.7,keydown,3,041
13,0,4,1,2,1,1,1731636679943.7,keydown,4,0412
13,0,4,1,2,1,Enter,1731636680215.5999,keydown,5,04121
14,9,1,4,5,9,1,1731636681583.5999,keydown,1,9
14,9,1,4,5,9,4,1731636681840,keydown,2,91
14,9,1,4,5,9,5,1731636682471.7,keydown,3,914
14,9,1,4,5,9,9,1731636682727.5,keydown,4,9145
14,9,1,4,5,9,Enter,1731636683031.7,keydown,5,91459
15,2,8,6,1,4,8,1731636685303.5,keydown,1,2
15,2,8,6,1,4,6,1731636685543.5999,keydown,2,28
15,2,8,6,1,4,1,1731636686031.5,keydown,3,286
15,2,8,6,1,4,4,1731636686367.5999,keydown,4,2861
15,2,8,6,1,4,Enter,1731636686615.4,keydown,5,28614
16,1,2,1,0,8,2,1731636687927.5,keydown,1,1
16,1,2,1,0,8,1,1731636688207.4,keydown,2,12
16,1,2,1,0,8,0,1731636688463.5,keydown,3,121
16,1,2,1,0,8,8,1731636688807.2998,keydown,4,1210
16,1,2,1,0,8,Enter,1731636689119.4,keydown,5,12108
17,5,0,5,3,5,0,1731636690423.4,keydown,1,5
17,5,0,5,3,5,5,1731636690711.2998,keydown,2,50
17,5,0,5,3,5,3,1731636691103.5999,keydown,3,505
17,5,0,5,3,5,5,1731636691415.4,keydown,4,5053
17,5,0,5,3,5,Enter,1731636691767.4,keydown,5,50535
18,8,1,5,4,5,1,1731636693399.2998,keydown,1,8
18,8,1,5,4,5,5,1731636693639.2998,keydown,2,81
18,8,1,5,4,5,4,1731636694199.4,keydown,3,815
18,8,1,5,4,5,5,1731636694399.2,keydown,4,8154
18,8,1,5,4,5,Enter,1731636694687.4,keydown,5,81545
19,6,4,9,8,4,4,1731636696727.2,keydown,1,6
19,6,4,9,8,4,9,1731636697055.2998,keydown,2,64
19,6,4,9,8,4,8,1731636697631.2,keydown,3,649
19,6,4,9,8,4,4,1731636697895.0999,keydown,4,6498
19,6,4,9,8,4,Enter,1731636698231.5,keydown,5,64984
